"계산방식","전략id","신호종목","실행상품코드","방향","진입ma","청산ma","추세ma","거래수","정상청산수","마감1519청산수","최대동시open","승률_pct","평균순수익률_pct","중앙순수익률_pct","평균보유분","최악거래_pct","최고거래_pct","누적복리손익","최종복리자본","누적복리수익률_pct"
"KRX_CONTINUOUS","DS002277","SK하이닉스","0197X0","SHORT","5/30","5/20","10","108","106","2","2","46.30","0.3740","-0.1218","20.78","-2.5052","17.1694","454244","1454244","45.4244"
"KRX_CONTINUOUS","DS002323","SK하이닉스","0197X0","SHORT","10/30","5/20","NONE","119","114","5","3","45.38","0.3175","-0.2000","19.19","-2.5799","17.1694","418460","1418460","41.8460"
"KRX_CONTINUOUS","DS002325","SK하이닉스","0197X0","SHORT","10/30","5/20","10","114","109","5","2","44.74","0.3311","-0.2000","19.21","-2.5799","17.1694","418380","1418380","41.8380"
"KRX_CONTINUOUS","DS002808","SK하이닉스","0197X0","SHORT","10/30","10/20","50","66","65","1","3","45.45","0.5667","-0.1081","21.76","-4.3224","17.1694","411620","1411620","41.1620"
"KRX_CONTINUOUS","DS002229","SK하이닉스","0197X0","SHORT","3/30","5/20","10","133","126","7","2","40.60","0.2783","-0.2000","20.05","-2.2629","17.1694","400678","1400678","40.0678"
"KRX_CONTINUOUS","DS001797","SK하이닉스","0197X0","SHORT","5/30","3/20","10","108","106","2","2","44.44","0.3129","-0.2496","18.53","-3.4437","17.4211","364199","1364199","36.4199"
"KRX_CONTINUOUS","DS002328","SK하이닉스","0197X0","SHORT","10/30","5/20","50","66","64","2","3","42.42","0.5076","-0.2000","18.53","-2.5799","17.1694","363792","1363792","36.3792"
"KRX_CONTINUOUS","DS003237","SK하이닉스","0197X0","SHORT","5/30","3/30","10","108","106","2","2","40.74","0.3064","-0.3133","22.69","-2.4368","17.1065","352588","1352588","35.2588"
"KRX_CONTINUOUS","DS001844","SK하이닉스","0197X0","SHORT","10/30","3/20","5","97","94","3","2","42.27","0.3176","-0.2457","17.63","-2.0741","17.4211","327040","1327040","32.7040"
"KRX_CONTINUOUS","DS003283","SK하이닉스","0197X0","SHORT","10/30","3/30","NONE","119","114","5","3","40.34","0.2633","-0.2457","22.20","-6.2043","17.1065","322658","1322658","32.2658"
"KRX_CONTINUOUS","DS003285","SK하이닉스","0197X0","SHORT","10/30","3/30","10","114","109","5","3","39.47","0.2738","-0.2458","22.23","-6.2043","17.1065","321149","1321149","32.1149"
"KRX_CONTINUOUS","DS001843","SK하이닉스","0197X0","SHORT","10/30","3/20","NONE","119","115","4","2","41.18","0.2560","-0.2457","17.25","-2.0741","17.4211","321044","1321044","32.1044"
"KRX_CONTINUOUS","DS002324","SK하이닉스","0197X0","SHORT","10/30","5/20","5","97","93","4","2","44.33","0.3124","-0.2000","19.33","-2.5799","17.1694","320105","1320105","32.0105"
"KRX_CONTINUOUS","DS002084","SK하이닉스","0197X0","SHORT","3/20","5/20","5","192","183","9","3","38.54","0.1666","-0.3029","19.42","-2.7606","17.1694","319825","1319825","31.9825"
"KRX_CONTINUOUS","DS002276","SK하이닉스","0197X0","SHORT","5/30","5/20","5","133","129","4","2","42.86","0.2322","-0.2000","21.14","-4.2995","17.1694","318839","1318839","31.8839"
"KRX_CONTINUOUS","DS002275","SK하이닉스","0197X0","SHORT","5/30","5/20","NONE","135","131","4","2","42.96","0.2267","-0.2000","21.01","-4.2995","17.1694","315171","1315171","31.5171"
"KRX_CONTINUOUS","DS002803","SK하이닉스","0197X0","SHORT","10/30","10/20","NONE","119","115","4","3","44.54","0.2582","-0.1242","21.40","-4.3224","17.1694","313952","1313952","31.3952"
"KRX_CONTINUOUS","DS001845","SK하이닉스","0197X0","SHORT","10/30","3/20","10","114","110","4","2","40.35","0.2608","-0.2676","17.21","-2.0741","17.4211","311714","1311714","31.1714"
"KRX_CONTINUOUS","DS003288","SK하이닉스","0197X0","SHORT","10/30","3/30","50","66","64","2","3","39.39","0.4509","-0.2229","22.00","-6.2043","17.1065","309192","1309192","30.9192"
"KRX_CONTINUOUS","DS002804","SK하이닉스","0197X0","SHORT","10/30","10/20","5","97","93","4","2","47.42","0.3094","-0.0814","22.26","-4.3224","17.1694","308077","1308077","30.8077"
"KRX_CONTINUOUS","DS002805","SK하이닉스","0197X0","SHORT","10/30","10/20","10","114","110","4","2","43.86","0.2591","-0.1621","21.44","-4.3224","17.1694","298847","1298847","29.8847"
"KRX_CONTINUOUS","DS001848","SK하이닉스","0197X0","SHORT","10/30","3/20","50","66","64","2","2","40.91","0.4280","-0.3520","16.56","-2.0741","17.4211","295176","1295176","29.5176"
