"계산방식","전략id","신호종목","실행상품코드","방향","진입ma","청산ma","추세ma","거래수","정상청산수","마감1519청산수","최대동시open","승률_pct","평균순수익률_pct","중앙순수익률_pct","평균보유분","최악거래_pct","최고거래_pct","누적복리손익","최종복리자본","누적복리수익률_pct"
"KRX_RESET","DS002277","SK하이닉스","0197X0","SHORT","5/30","5/20","10","101","99","2","2","44.55","0.0979","-0.2000","20.25","-2.5052","4.9908","90886","1090886","9.0886"
"KRX_RESET","DS002627","삼성전자","0193W0","LONG","5/20","10/20","30","84","78","6","4","39.29","0.0775","-0.2620","19.21","-1.7391","6.5831","58860","1058860","5.8860"
"KRX_RESET","DS002229","SK하이닉스","0197X0","SHORT","3/30","5/20","10","125","118","7","2","39.20","0.0529","-0.2000","19.69","-2.2629","4.9908","52572","1052572","5.2572"
"KRX_RESET","DS002579","삼성전자","0193W0","LONG","3/20","10/20","30","106","98","8","5","37.74","0.0568","-0.2447","18.17","-2.6458","6.5831","49466","1049466","4.9466"
"KRX_RESET","DS003634","삼성전자","0193W0","LONG","10/20","5/30","20","69","61","8","3","42.03","0.0792","-0.2000","23.32","-1.7730","7.3307","46341","1046341","4.6341"
"KRX_RESET","DS001797","SK하이닉스","0197X0","SHORT","5/30","3/20","10","101","99","2","2","42.57","0.0449","-0.3082","18.09","-1.9625","4.1419","36323","1036323","3.6323"
"KRX_RESET","DS000179","삼성전자","0193W0","LONG","3/20","3/5","30","106","104","2","2","31.13","0.0346","-0.2000","5.16","-1.5462","5.4012","32039","1032039","3.2039"
"KRX_RESET","DS000300","SK하이닉스","0193T0","LONG","3/30","3/5","50","44","44","0","1","36.36","0.0603","-0.1734","6.07","-1.6201","2.1753","25183","1025183","2.5183"
"KRX_RESET","DS002323","SK하이닉스","0197X0","SHORT","10/30","5/20","NONE","110","105","5","3","43.64","0.0294","-0.2462","18.61","-2.5799","5.2323","22425","1022425","2.2425"
"KRX_RESET","DS001320","SK하이닉스","0197X0","SHORT","5/30","5/10","50","59","59","0","2","38.98","0.0400","-0.1465","12.53","-1.8972","4.1457","19604","1019604","1.9604"
