"계산방식","전략id","신호종목","실행상품코드","방향","진입ma","청산ma","추세ma","거래수","정상청산수","마감1519청산수","최대동시open","승률_pct","평균순수익률_pct","중앙순수익률_pct","평균보유분","최악거래_pct","최고거래_pct","누적복리손익","최종복리자본","누적복리수익률_pct"
"INTEGRATED_CONTINUOUS","DS003668","SK하이닉스","0197X0","SHORT","3/30","5/30","5","151","140","11","2","39.07","0.2133","-0.3533","24.84","-3.2730","12.3068","316580","1316580","31.6580"
"INTEGRATED_CONTINUOUS","DS003667","SK하이닉스","0197X0","SHORT","3/30","5/30","NONE","171","160","11","3","38.60","0.1911","-0.3533","24.54","-3.2730","12.3068","314752","1314752","31.4752"
"INTEGRATED_CONTINUOUS","DS003672","SK하이닉스","0197X0","SHORT","3/30","5/30","50","90","83","7","3","35.56","0.3347","-0.3827","24.98","-3.2730","12.3068","296910","1296910","29.6910"
"INTEGRATED_CONTINUOUS","DS002228","SK하이닉스","0197X0","SHORT","3/30","5/20","5","151","142","9","3","39.74","0.1578","-0.2000","20.22","-5.1400","11.5968","218448","1218448","21.8448"
"INTEGRATED_CONTINUOUS","DS002232","SK하이닉스","0197X0","SHORT","3/30","5/20","50","90","85","5","3","34.44","0.2574","-0.2767","21.48","-5.1400","11.5968","215389","1215389","21.5389"
"INTEGRATED_CONTINUOUS","DS002084","SK하이닉스","0197X0","SHORT","3/20","5/20","5","194","184","10","3","37.63","0.1221","-0.3134","19.05","-3.2730","11.5968","208085","1208085","20.8085"
"INTEGRATED_CONTINUOUS","DS002227","SK하이닉스","0197X0","SHORT","3/30","5/20","NONE","171","162","9","3","39.77","0.1358","-0.2000","20.86","-5.1400","11.5968","206432","1206432","20.6432"
"INTEGRATED_CONTINUOUS","DS002083","SK하이닉스","0197X0","SHORT","3/20","5/20","NONE","218","208","10","3","38.07","0.0946","-0.3029","18.88","-3.2730","11.5968","166905","1166905","16.6905"
"INTEGRATED_CONTINUOUS","DS004152","SK하이닉스","0197X0","SHORT","3/30","10/30","50","90","84","6","3","38.89","0.2100","-0.3488","26.06","-5.5717","13.6722","147134","1147134","14.7134"
"INTEGRATED_CONTINUOUS","DS003524","SK하이닉스","0197X0","SHORT","3/20","5/30","5","194","181","13","3","38.66","0.0959","-0.3950","26.70","-7.2000","12.3068","130629","1130629","13.0629"
"INTEGRATED_CONTINUOUS","DS002229","SK하이닉스","0197X0","SHORT","3/30","5/20","10","133","126","7","2","40.60","0.1067","-0.2000","19.65","-3.2730","9.9130","130397","1130397","13.0397"
