계산방식,전략id,신호종목,실행상품코드,방향,진입ma,청산ma,추세ma,거래수,정상청산수,마감1519청산수,최대동시open,승률_pct,평균순수익률_pct,중앙순수익률_pct,평균보유분,최악거래_pct,최고거래_pct,누적복리손익,최종복리자본,누적복리수익률_pct,mdd_pct
KRX_CONTINUOUS_AFTERNOON,DS004054,SK하이닉스,0197X0,SHORT,5/20,10/30,20,83,48,35,6,42.17,0.3269,-0.2000,22.47,-3.9998,10.7885,243963,1243963,24.3963,-14.0573
KRX_CONTINUOUS_AFTERNOON,DS004007,SK하이닉스,0197X0,SHORT,3/20,10/30,30,106,63,43,7,39.62,0.2262,-0.2191,19.15,-3.2091,10.7885,200853,1200853,20.0853,-14.9716
KRX_CONTINUOUS_AFTERNOON,DS001020,SK하이닉스,0193T0,LONG,3/10,5/10,50,113,94,19,2,42.48,0.1751,-0.2000,10.64,-4.2532,6.1932,197814,1197814,19.7814,-8.4121
KRX_CONTINUOUS_AFTERNOON,DS002711,SK하이닉스,0197X0,SHORT,3/30,10/20,30,79,55,24,3,40.51,0.2306,-0.2000,16.86,-4.7013,10.8453,173226,1173226,17.3226,-16.9012
KRX_CONTINUOUS_AFTERNOON,DS004151,SK하이닉스,0197X0,SHORT,3/30,10/30,30,79,48,31,3,40.51,0.2435,-0.2000,19.68,-4.7426,10.7885,167085,1167085,16.7085,-13.4615
KRX_CONTINUOUS_AFTERNOON,DS004198,SK하이닉스,0197X0,SHORT,5/30,10/30,20,81,51,30,3,45.68,0.2362,-0.1307,23.49,-4.7426,10.5067,162341,1162341,16.2341,-11.4358
KRX_CONTINUOUS_AFTERNOON,DS001404,SK하이닉스,0193T0,LONG,20/30,5/10,50,42,36,6,2,50.00,0.3638,-0.0406,12.98,-3.2643,6.2189,154959,1154959,15.4959,-8.4599
KRX_CONTINUOUS_AFTERNOON,DS001883,SK하이닉스,0193T0,LONG,20/30,3/20,30,43,36,7,2,41.86,0.3513,-0.4104,16.98,-2.2919,8.1426,145782,1145782,14.5782,-11.9341
KRX_CONTINUOUS_AFTERNOON,DS000540,SK하이닉스,0193T0,LONG,3/10,3/10,50,113,97,16,1,36.28,0.1295,-0.3238,8.55,-3.4750,6.2656,141452,1141452,14.1452,-9.5663
KRX_CONTINUOUS_AFTERNOON,DS001068,SK하이닉스,0193T0,LONG,5/10,5/10,50,103,87,16,2,42.72,0.1293,-0.1654,9.25,-3.0237,5.6894,129045,1129045,12.9045,-7.3958
